Date;FOB_Rus;FOB_Ukr;FOB_AusP;FOB_AusS;FOB_Bal;FOB_CVB;FOB_Pol;FOB_Ger;FOB_Fra;FOB_Arg;FOB_USGulf;Africa;FOB_USPNW;BCI
01.03.2022;365;360;372;349;405,25;398,5;396,25;404;402,5;320;421,75;346;538;117,485
02.03.2022;375;370;396;370;431,75;415;430,5;430,5;436,75;320;449,5;346;565,5;121,53
03.03.2022;400;390;411;385;427,75;421,25;426,75;425,5;409;370;451,25;396;569,25;124,265
04.03.2022;430;405;430;450;459,5;454;459,5;460,75;443,25;380;507,25;410;624,25;125,265
07.03.2022;;;440;415;476,5;464,5;477,5;478,25;465,75;380;510,75;410;659,25;130,965
08.03.2022;;;440;415;470;446;471;471,5;471,5;405;489,5;435;656,5;135,665
09.03.2022;425;400;437;410;460,5;436,25;461,5;462,25;462,25;407;459;437;625,25;129,85
10.03.2022;430;412;437;410;465,75;441,5;467;465,25;469,25;402;452,75;432;593;126,6
11.03.2022;425;412;412;387;442,5;442,5;443,5;443,5;443,75;402;460;433,75;592,75;125,475
14.03.2022;425;412;412;387;443,25;432,25;444,5;444,5;444,5;395;455,25;426,75;588,25;124,43
15.03.2022;418;410;417;390;454,75;420,5;455,75;455,75;442,5;393;474,25;424,75;605,75;121,425
16.03.2022;420;410;417;402;455,75;420,5;456,75;456,75;437;393;443,75;424,75;573;121,695
17.03.2022;420;410;418;402;442,5;419,25;443,75;444,75;431,5;390;458,5;421,75;582,5;122,915
18.03.2022;420;410;416;386;439,75;416,5;440,75;442;428,75;377;455;408,5;572,25;124,175
21.03.2022;420;410;416;386;444;416,75;445;447,25;423;374;472,25;405,5;599;125,665
22.03.2022;412;407;416;386;460,5;411,75;461,5;463,75;439,5;374;468,5;405,5;591,25;125,615
23.03.2022;412;407;414;384;461;431,25;453,25;464,25;440;369;470;400,5;586,75;127,155
24.03.2022;412;407;416;390;451,5;436,25;444;454,75;430,75;369;465,75;400,5;581,5;128,94
25.03.2022;412;407;416;390;456,5;421,75;448,75;459,75;435,5;369;472,25;400,25;585,5;128,725
28.03.2022;405;400;416;390;442,5;419,5;434,75;445,75;422,75;380;458,25;411,25;566;127,36
29.03.2022;390;380;416;390;427,5;401,75;419,5;430,75;404,5;372;442;403,25;549,25;123,975
30.03.2022;387;380;414;374;436,75;418,25;429;440;422,25;370;449;401,25;536,25;125,425
31.03.2022;385;380;407;372;442,5;401,25;434,75;445,75;428;370;449,75;401,25;536;125,34
01.04.2022;385;380;402;374;444;398,75;432;446,25;427,5;375;444,75;408;524,25;124,05
04.04.2022;383;377;395;374;440,25;400,5;428;442,25;423,75;375;444,25;408;524;125,125
05.04.2022;380;375;395;374;433;401;429,75;444;425,25;375;463;408;537;126,845
06.04.2022;380;375;400;376;425;396,5;417,25;435,75;406,5;373;464,5;406;536;125,815
07.04.2022;380;370;400;375;425,5;397,25;418;435,25;407;373;461,75;406;528,5;124,68
08.04.2022;380;370;400;375;420;389,75;419;421,25;413,5;373;468,25;407;533,5;125,635
11.04.2022;382;370;400;375;429,5;405,5;427,25;431,75;416,75;380;482,25;414;544,5;125,81
12.04.2022;382;370;400;375;446,75;411,75;445,75;449;434,75;380;494,75;414;558,5;128,23
13.04.2022;380;365;412;383;449,5;414,75;448,5;451,75;437,5;390;494,5;423,75;560,25;129,765
14.04.2022;385;365;412;383;462,5;408,5;461,5;464,75;450,5;410;498,25;428,5;562;131,485
19.04.2022;375;365;410;380;460,25;412,75;460,25;463,5;450,5;417;495,25;418;566,75;133,05
20.04.2022;380;363;410;380;438,25;422,75;439;441;437,75;425;494;423;562,25;131,055
21.04.2022;380;360;410;380;450,75;413,75;450,75;443;446,25;417;478,75;423;549;131,145
22.04.2022;380;360;410;380;433,5;408,75;434,75;435,75;435,75;420;485,5;423;556;130,1
25.04.2022;383;345;410;380;440;415,5;441;442,25;443,25;420;484,25;426;552,25;126,665
26.04.2022;383;345;408;380;421,25;412,75;422,25;424,5;443,75;430;487,75;426;557,25;128,05
27.04.2022;383;340;410;380;419;410,5;417;422,25;441,25;435;483,5;426;559,5;129,165
28.04.2022;383;342;412;382;427,25;426,25;425,25;430,5;449,25;440;481,25;426;560,25;129,185
29.04.2022;383;340;412;381;424;421;422;427,25;448,25;445;468,25;433,25;549,25;129,905
03.05.2022;381;338;412;381;416,5;410,25;416,5;427;430,25;442;461,5;431,25;544;129,41
04.05.2022;385;338;417;385;421;414,75;421;431,5;419;445;470;435,25;553;129,99
05.05.2022;385;340;414;382;423,25;415,75;424,25;439;424,25;445;484,75;435,25;556,75;132,2
