Date;FOB_Rus;FOB_Ukr;FOB_AusP;FOB_AusS;FOB_Bal;FOB_CVB;FOB_Pol;FOB_Ger;FOB_Fra;FOB_Arg;FOB_USGulf;Africa;FOB_USPNW;BCI
06.05.2022;387;340;414;382;423,75;416,25;422,5;437;426,75;438;491,75;435,75;566,25;131,54
09.05.2022;;;415;382;424;422;423;436,75;429,25;435;488,5;441,5;560,5;127,605
10.05.2022;387;337;418;385;420,75;418,75;419,75;430,25;426;430;490,25;438,25;560,75;124,655
11.05.2022;393;337;420;397;426,75;419,5;433,25;433,25;432;430;496,5;439;566,25;126,42
12.05.2022;391;335;420;397;424;416,75;426;427,25;429,25;440;499,25;435,5;571;126,265
13.05.2022;393;335;435;412;436,25;428;436,25;438,5;440,5;450;522;446,75;587;127,61
16.05.2022;397;333;443;422;453,75;452,75;452,75;456,75;437;465;552;447,25;616,5;129,73
17.05.2022;409;333;453;430;456,25;456,25;455,25;453,25;439,5;475;558,75;459,25;625,5;131,655
18.05.2022;409;333;453;430;458,5;458,5;457,5;455,25;441,75;470;539,75;459,25;608,5;130,615
19.05.2022;409;335;453;430;449,5;449,5;444;451,5;432,5;480;537;459,25;599,5;129,47
20.05.2022;409;335;453;430;438,25;444,5;439,25;446,75;427,75;485;523,5;460;588,75;130,485
23.05.2022;413;335;453;430;448,75;456,25;450;457,25;454,75;480;524,5;464;595,75;131,545
24.05.2022;417;335;453;430;457,25;467;460,5;463,75;465,75;490;521;468;588;132,13
25.05.2022;417;335;455;433;427;436,5;432,25;434,5;435,5;480;499,75;457,75;574,25;132,07
26.05.2022;419,5;335;455;433;427,25;436,75;432,5;434,5;435,75;485;515;464,75;581,25;133,095
27.05.2022;424;335;455;433;438;443,25;439;442,25;441,25;485;508,25;471,25;585,5;133,07
31.05.2022;425,5;335;455;433;436;454,25;438,25;441,5;437,25;490;487,75;476,5;557,5;133,415
01.06.2022;425;335;455;433;426;428;428;431,25;426,5;487;473;460;541,5;132,445
02.06.2022;425;335;455;433;418,25;432;418,75;424,5;418,25;472;477,75;464;545,75;133,255
03.06.2022;425;335;455;433;415,25;427;413,5;419,5;413;472;472;459;542;133,76
06.06.2022;425;330;455;433;430;440,75;428,5;434,25;424,75;475;487,25;467,5;558,5;135,925
07.06.2022;425;330;455;433;425,75;436,5;424;430;421,5;485;475,75;464;553,5;136,165
08.06.2022;425;330;455;427;442;431,5;443,25;444,25;424;480;473,5;463,5;551;136,9
09.06.2022;425;325;455;427;429,5;419;430,75;431,75;411,5;480;475,25;451;551;135,375
10.06.2022;425;325;455;427;429;418,5;430;431;411;480;478,25;450,5;551,5;135,42
